Time, AccelerometerX, AccelerometerY, AccelerometerZ 
0.0, -0.275, -9.857, 1.687
0.01, -0.353, -9.812, 1.656
0.02, -0.353, -9.766, 1.624
0.03, -0.353, -9.78, 1.701
0.04, -0.314, -9.805, 1.617
0.05, -0.275, -9.819, 1.694
0.06, -0.314, -9.889, 1.642
0.07, -0.353, -9.948, 1.751
0.08, -0.431, -9.987, 1.744
0.09, -0.431, -10.18, 1.71
0.1, -0.471, -10.064, 1.731
0.11, -0.471, -10.159, 1.594
0.12, -0.51, -10.2, 1.826
0.13, -0.51, -10.225, 1.742
0.14, -0.51, -10.141, 1.717
0.15, -0.471, -10.121, 1.601
0.16, -0.392, -10.18, 1.71
0.17, -0.353, -10.089, 1.647
0.18, -0.314, -10.012, 1.66
0.19, -0.314, -9.909, 1.758
0.2, -0.275, -9.859, 1.926
0.21, -0.196, -9.696, 1.676
0.22, -0.118, -9.678, 1.799
0.23, -0.078, -9.716, 1.792
0.24, 0.0, -9.748, 1.747
0.25, 0.078, -9.864, 1.726
0.26, 0.118, -9.98, 1.706
0.27, 0.118, -10.069, 1.531
0.28, 0.078, -10.184, 1.51
0.29, 0.0, -10.216, 1.465
0.3, -0.039, -10.268, 1.535
0.31, -0.039, -10.287, 1.413
0.32, -0.157, -10.298, 1.251
0.33, -0.118, -10.278, 1.135
0.34, -0.196, -10.212, 0.988
0.35, -0.275, -10.237, 0.904
0.36, -0.353, -10.191, 0.872
0.37, -0.431, -10.203, 0.71
0.38, -0.51, -10.105, 0.608
0.39, -0.549, -10.046, 0.499
0.4, -0.549, -9.923, 0.481
0.41, -0.549, -9.741, 0.354
0.42, -0.588, -9.53, 0.51
0.43, -0.628, -9.33, 0.506
0.44, -0.628, -9.214, 0.526
0.45, -0.51, -9.241, 0.681
0.46, -0.471, -9.412, 0.969
0.47, -0.431, -9.689, 0.96
0.48, -0.353, -9.953, 0.874
0.49, -0.275, -10.23, 0.865
0.5, -0.235, -10.419, 1.031
0.51, -0.235, -10.559, 0.926
0.52, -0.235, -10.675, 0.906
0.53, -0.314, -10.682, 0.945
0.54, -0.392, -10.637, 0.913
0.55, -0.471, -10.475, 0.901
0.56, -0.471, -10.423, 0.831
0.57, -0.51, -10.346, 0.844
0.58, -0.549, -10.296, 1.013
0.59, -0.549, -10.219, 1.026
0.6, -0.549, -10.198, 0.91
0.61, -0.51, -10.171, 0.756
0.62, -0.51, -10.157, 0.679
0.63, -0.471, -10.157, 0.679
0.64, -0.471, -10.15, 0.64
0.65, -0.431, -10.21, 0.749
0.66, -0.392, -10.216, 0.788
0.67, -0.392, -10.248, 0.742
0.68, -0.353, -10.241, 0.704
0.69, -0.275, -10.248, 0.742
0.7, -0.235, -10.214, 0.549
0.71, -0.157, -10.189, 0.633
0.72, -0.118, -10.144, 0.601
0.73, -0.118, -10.06, 0.576
0.74, -0.118, -10.035, 0.66
0.75, -0.157, -9.989, 0.629
0.76, -0.157, -9.912, 0.642
0.77, -0.196, -9.86, 0.572
0.78, -0.235, -9.878, 0.449
0.79, -0.235, -9.923, 0.481
0.8, -0.235, -9.923, 0.481
0.81, -0.235, -9.916, 0.442
0.82, -0.235, -9.826, 0.379
0.83, -0.235, -9.805, 0.263
0.84, -0.275, -9.812, 0.301
0.85, -0.235, -9.805, 0.263
0.86, -0.157, -9.844, 0.256
0.87, -0.157, -9.844, 0.256
0.88, -0.196, -9.857, 0.333
0.89, -0.196, -9.935, 0.32
0.9, -0.157, -10.005, 0.267
0.91, -0.118, -10.044, 0.26
0.92, -0.118, -9.971, 0.074
0.93, 0.0, -10.01, 0.067
0.94, 0.078, -9.985, 0.151
0.95, 0.196, -9.901, 0.126
0.96, 0.275, -9.907, 0.165
0.97, 0.235, -9.785, 0.147
0.98, 0.235, -9.753, 0.192
0.99, 0.235, -9.76, 0.231
1.0, 0.235, -9.735, 0.315
1.01, 0.118, -9.78, 0.347
1.02, 0.0, -9.973, 0.313
1.03, -0.078, -10.103, 0.37
1.04, -0.157, -10.219, 0.349
1.05, -0.235, -10.432, 0.431
1.06, -0.353, -10.355, 0.445
1.07, -0.471, -10.341, 0.367
1.08, -0.588, -10.375, 0.56
1.09, -0.667, -10.285, 0.497
1.1, -0.667, -10.232, 0.426
1.11, -0.745, -10.33, 0.529
1.12, -0.785, -10.362, 0.483
1.13, -0.824, -10.407, 0.515
1.14, -0.785, -10.407, 0.515
1.15, -0.863, -10.341, 0.367
1.16, -0.824, -10.341, 0.367
1.17, -0.785, -10.269, 0.181
1.18, -0.745, -10.191, 0.195
1.19, -0.667, -10.16, 0.24
1.2, -0.588, -10.069, 0.176
1.21, -0.51, -9.953, 0.197
1.22, -0.431, -9.907, 0.165
1.23, -0.392, -9.907, 0.165
1.24, -0.314, -9.907, 0.165
1.25, -0.275, -9.841, 0.017
1.26, -0.235, -9.841, 0.017
1.27, -0.196, -9.86, -0.105
1.28, -0.196, -9.919, 0.004
1.29, -0.235, -9.88, 0.01
1.3, -0.196, -9.926, 0.042
1.31, -0.235, -9.971, 0.074
1.32, -0.196, -9.991, 0.19
1.33, -0.196, -9.991, 0.19
1.34, -0.157, -9.998, 0.229
1.35, -0.157, -10.019, 0.345
1.36, -0.157, -10.044, 0.26
1.37, -0.078, -10.137, 0.563
1.38, -0.118, -10.194, 0.433
1.39, -0.118, -10.214, 0.549
1.4, -0.118, -10.26, 0.581
1.41, -0.078, -10.305, 0.613
1.42, -0.118, -10.375, 0.56
1.43, -0.157, -10.382, 0.599
1.44, -0.235, -10.382, 0.599
1.45, -0.275, -10.396, 0.676
1.46, -0.314, -10.312, 0.651
1.47, -0.314, -10.273, 0.658
1.48, -0.353, -10.207, 0.51
1.49, -0.353, -10.196, 0.672
1.5, -0.353, -10.112, 0.647
1.51, -0.314, -10.069, 0.854
1.52, -0.353, -9.937, 0.558
1.53, -0.431, -9.88, 0.688
1.54, -0.431, -9.841, 0.694
1.55, -0.431, -9.887, 0.726
1.56, -0.431, -9.919, 0.681
1.57, -0.471, -10.016, 0.783
1.58, -0.431, -10.055, 0.776
1.59, -0.431, -10.132, 0.763
1.6, -0.431, -10.241, 0.704
1.61, -0.471, -10.235, 0.665
1.62, -0.471, -10.273, 0.658
1.63, -0.549, -10.303, 1.051
1.64, -0.549, -10.223, 0.826
1.65, -0.549, -10.216, 0.788
1.66, -0.549, -10.248, 0.742
1.67, -0.549, -10.235, 0.665
1.68, -0.549, -10.228, 0.626
1.69, -0.549, -10.228, 0.626
1.7, -0.51, -10.228, 0.626
1.71, -0.471, -10.148, 0.401
1.72, -0.471, -10.162, 0.479
1.73, -0.392, -10.13, 0.524
1.74, -0.353, -10.06, 0.576
1.75, -0.314, -10.014, 0.544
1.76, -0.235, -9.989, 0.629
1.77, -0.275, -9.95, 0.635
1.78, -0.196, -9.95, 0.635
1.79, -0.157, -9.971, 0.751
1.8, -0.157, -9.982, 0.59
1.81, -0.157, -10.066, 0.615
1.82, -0.157, -10.085, 0.492
1.83, -0.157, -10.164, 0.717
1.84, -0.157, -10.144, 0.601
1.85, -0.196, -10.15, 0.64
1.86, -0.196, -10.182, 0.594
1.87, -0.235, -10.157, 0.679
1.88, -0.235, -10.157, 0.679
1.89, -0.275, -10.15, 0.64
1.9, -0.235, -10.15, 0.64
1.91, -0.275, -10.15, 0.64
1.92, -0.275, -10.164, 0.717
1.93, -0.275, -10.164, 0.717
1.94, -0.235, -10.105, 0.608
1.95, -0.275, -10.105, 0.608
1.96, -0.275, -10.098, 0.569
1.97, -0.275, -10.073, 0.654
1.98, -0.275, -10.073, 0.654
